date,sp500_return,ols_pred,ols_lower,ols_upper,bayes_pred,bayes_lower,bayes_upper
2023-04-01,3.8530348539520753,0.8764260741147492,-6.453632803304572,8.20648495153407,0.8464963189885097,-6.615746449926293,8.26596822728636
2023-05-01,0.5993007349319512,1.3400156527524179,-6.056104448426416,8.736135753931253,1.3617329157382279,-6.038889482061642,8.687311115415943
2023-06-01,4.804433971593047,1.5399068545950056,-5.862936338482941,8.942750047672952,1.5657211472344625,-5.928105379925924,8.784693003296526
2023-07-01,3.7444452371144576,1.5239804193152882,-5.887150502422698,8.935111341053275,1.4968831086897332,-5.9348698011054015,9.005631459452085
2023-08-01,-1.1250909478092708,1.6956670466251693,-5.789973149283618,9.181307242533956,1.6974933332505466,-5.711626945739191,9.153924509699612
2023-09-01,-1.0827036631548603,1.7026058638823556,-5.783038958737059,9.188250686501771,1.6545095984663976,-5.841524219080636,9.074304673730166
2023-10-01,-3.168447075366876,1.8964499073261036,-5.602749962404989,9.395649777057196,1.8403948427298058,-5.724007792613525,9.237313461821847
2023-11-01,4.465732889867446,1.8836317020012445,-5.610989244825227,9.378252648827717,1.8627259998390822,-5.638505286789688,9.185811683407758
2023-12-01,5.044550970166317,2.0975873664345057,-5.423553634993583,9.618728367862595,2.068172608785344,-5.308413674051124,9.569617790493773
2024-01-01,2.5493858123178947,1.6712639281741688,-5.806872459699148,9.149400316047487,1.649178147702941,-5.813141941210933,8.963817059718687
2024-02-01,4.318252301492986,2.0010060960329015,-5.506492899323991,9.508505091389795,1.9834515866677902,-5.366936772195161,9.550150177688913
2024-03-01,3.1646302045507113,1.8747380339405488,-5.625625846426857,9.375101914307955,1.9231231105989126,-5.4642735628011145,9.539516487656618
2024-04-01,-1.123280412024208,1.8251109980672986,-5.66975813470488,9.319980130839477,1.8205711305308596,-5.620487179530312,9.367389777025695
2024-05-01,2.4007870920040864,2.0325126795983137,-5.479356478649237,9.544381837845863,2.0510215385033415,-5.437178147983996,9.3561142326441
2024-06-01,3.4365252338483865,2.43778887875284,-5.119796059509779,9.995373817015459,2.419156367243831,-5.029319377972683,9.919599034265884
2024-07-01,2.2688240747238186,2.2113638522424712,-5.317799205132232,9.740526909617174,2.1818352438425546,-5.316561473602579,9.758253385944062
2024-08-01,-1.079631635969669,2.398381501272934,-5.147647728416487,9.944410730962355,2.3974988215719217,-5.187827460334269,9.918615202276994
2024-09-01,2.6112544060925114,2.111229556377526,-5.351860967000201,9.574320079755253,2.1028647862886736,-5.17886551655032,9.631294617483011
2024-10-01,3.043089983384495,1.9625884318805409,-5.413818945215082,9.338995808976165,1.9229541890548985,-5.620300697802339,9.417001792135824
2024-11-01,2.375559361361268,1.8122939727351737,-5.510934400477185,9.135522345947532,1.7604375700702253,-5.455767804410602,9.021460915212744
2024-12-01,1.3657857104311555,1.8497043876566899,-5.438961947701231,9.13837072301461,1.802605593561527,-5.430616870387139,9.039222629192581
